ファイル名,アプリ名,価格表示有無,税込表示方式,計価単位,価格の視覚階層,ポイント表示有無,ポイント表示方式,ポイント表示位置,割引表示有無,割引表示方式,取消ポリシー有無,取消ポリシー表示方式,人数選択有無,児童選択有無,人数表示方式,評価表示有無,評価表示方式,CTA文言,特記事項,エラー
50d8e2fc-8bf8-4f59-a85b-7a2758af9447.webp,Trip.com,あり,"税込み（例：「合計金額：1,062,720円 1室×4泊（税込み）」「合計金額：1,379,116円 1室×4泊（税込み）」）",1室×4泊（税込み）,"元値に取消線（例：「374,622円」「345,079円」）＋大きな青字で割引後価格（例：「265,680円」「344,779円」）＋小さなグレー字で合計金額",なし,該当なし,該当なし,あり,「初回予約価格」ラベル＋「29%オフ」バッジ（ピンク背景）＋元値に取消線＋青字割引後価格、および「割引クーポン」ラベル＋元値に取消線＋青字割引後価格,あり,「キャンセル無料 6月10日 12:00まで」,あり,なし,「料金（大人4名）」,あり,「素晴らしい 4.8／5」「43件の口コミ」、清潔度4.9、サービス4.9,"「予約」, 「予約」",「残りわずか1室」という在庫切迫表示（赤字）が価格帯上部に配置されており、希少性訴求の本地化表現として注目に値する。,
51edc1f0-0c86-47b6-8a60-a11d42f93b0b.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,あり,"「最大20％オフ」「8%割引（最大1,200円割引）」「最大50％割引」",なし,該当なし,あり,あり,「1室 大人２名 子供０名」,なし,該当なし,「検索」,"「最低価格保証」の表記あり、またGW期間限定セール訴求「GW旅セール!! ホテル&航空券 最大2,000円クーポン配布中!」が日本市場向け季節施策として表示されている。",
558b63be-55c4-4e0a-965c-9281548909e3.webp,Trip,なし,該当なし,表示なし,価格表示なし（このスクリーン範囲内では価格数値は非表示）,なし,該当なし,該当なし,あり,「ホテル最大50%割引！会員限定価格でいつでもお得」（テキスト文言による割引訴求。バッジや取消線価格は見えている範囲では非表示）,あり,「*無料キャンセルの期限は各ホテルプランをご確認ください」／フィルタータブ「無料キャンセルができるホテル」,なし,なし,該当なし,あり,星アイコン4つ（テキスト数値・件数は見えている範囲では非表示）,該当なし,"「*無料特典：朝食, レイトチェックアウト, 無料アップグレード, アーリーチェックイン」と無料特典の内容が赤字テキストで列挙されており、会員メリットの訴求方法として本地化観点で注目に値する。",
562ad409-e717-47de-814e-8963ddf8c9a6.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,OK（4泊）,「7月15日 海の日」という日本の祝日をカレンダー上にオレンジ丸ドット＋テキストで表示しており、祝日ローカライズ対応が確認できる。また「チェックイン・チェックアウト時間は現地時間です」という注意書きが表示されており、海外宿泊を想定したタイムゾーン明示の本地化配慮が見られる。,
56d380a0-00f3-4faa-9ef6-0d7c93677480.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,あり,「航空券の発券前にキャンセルできた場合、お支払い方法に応じて全額返金されます。キャンセル料はかかりません。」,なし,なし,該当なし,あり,5段階の顔文字アイコン（非常に悪い〜非常に良い）によるチャットボット評価UI,"解決した, 解決しなかった, 送信",チャットボット満足度調査UIにおいて「Trip.comチャットボット」のサービス評価と問題解決有無の2軸で収集する設計が本地化観点で注目される（「キャンセル済み」ステータス表示も確認）,
57938bea-5864-4571-9de0-03cfa56d3e06.webp,Trip,なし,税サ込,1泊1室あたり（税サ込）,該当なし,なし,該当なし,該当なし,なし,該当なし,あり,キャンセル無料,なし,なし,該当なし,なし,該当なし,結果を表示,税金表記が「税込」ではなく「税サ込」と略記されており、消費税とサービス料の両方を含む旨を示す日本のホテル業界特有の表現が使われている点が本地化上の注目ポイント。,
5d2cecb1-b053-4bd2-ab15-aced18a72fa8.webp,Trip,なし,該当なし,表示なし,該当なし,あり,50 Trip Coins,画面上部のミッションバナー内（「LV4ミッション (50 Trip Coins): 最初の投稿後、LV4にアップグレードすると、この報酬を受け取ります」）,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,"投稿, 戻る","タグ一覧の投稿数表示が「投稿：714件」「投稿：1,502件」など「投稿：数字件」形式で統一されており、数値の区切りにカンマを使用している点が本地化上の注目ポイント。",
5da674ed-95de-4a17-9674-cd8c854a273b.webp,Trip,あり,表示なし,表示なし,"大きな青字で割引後価格「56,221円」＋小さなグレー字に取消線で元値「64,794円」＋ピンクバッジで「13%オフ」",なし,該当なし,該当なし,あり,"元値「64,794円」に取消線＋赤字バッジで「13%オフ」＋「新規会員特典で4,388円オフ！」",あり,「キャンセル無料」,あり,あり,「客室数・宿泊者数 1（客室アイコン）2（大人アイコン）0（子供アイコン）」,あり,「4.8/5 素晴らしい 43件の口コミ」,"「View」, 「客室タイプを選択」",「この都市の81%の同ランクホテルよりも高評価」という相対評価テキストおよび「最低価格保証」「変更・キャンセル保証」の信頼訴求ラベルが価格帯付近に配置されており、本地化上の訴求軸として注目に値する。,
60e09510-bd97-4ef1-b326-199b76355a04.webp,Trip,なし,該当なし,表示なし,価格表示なし,あり,予約完了後に獲得予定：80 Trip Coins,説明モーダル中央部、イラストの下部オーバーレイカード内,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,OK,「Trip Coins」の付与説明において「予約完了後に獲得予定：」という未確定表現を使用しており、確定ではなく予定である点を明示している本地化上の配慮が見られる。また「会員ステイタスが上がるほど、Trip Coins の付与率もアップ！」と会員ランク連動の訴求がされている。,
63f9ce92-b8f8-447d-ba7d-e17f548fa286.webp,Trip,あり,該当なし,/ 泊,"大きな赤字で割引後価格（例：「7,963円」「4,404円」）＋小さなグレー字に取消線で元値（例：「15,900円」「8,000円」）",なし,該当なし,該当なし,あり,ピンク背景の割引率バッジ（例：「-50%」「-45%」）＋元値に取消線＋赤字で割引後価格。バナーに「最大81%OFF!! GW旅セール限定」の記載あり,なし,該当なし,なし,なし,該当なし,あり,★（星アイコン）＋数値 /5・レビュー○件（例：「4.6 /5・レビュー890件」「4.5 /5・レビュー476件」「4.4 /5・レビュー467件」）,予約,"バナーに「ホテル＆航空券 最大2,000円クーポン配布中！」と記載されており、クーポン訴求がセールの主軸として使われている点が本地化観点で注目される。",
65143633-55ba-46f2-aa87-5adf1ccfe8a8.webp,Trip,あり,"別途料金（税など） 8,673円",1室×1泊,"明細形式：「1室×1泊 77,499円」を基準に、割引項目をマイナス表記（赤字）で列挙し、最終支払額「63,428円」を太字大きめで表示",あり,324 Trip Coins を付与（約508円）,前払い合計金額の直下（画面最下部）,あり,"早期割引 -12,926円 / 初回予約価格 -8,618円 / ホテル初回予約割引クーポン -1,200円（すべて赤字マイナス表記）",なし,該当なし,なし,なし,該当なし,なし,該当なし,表示,「前払い ✓支払い済み」という支払いステータスラベルが価格に隣接して表示されており、決済完了状態を明示する本地化観点で注目すべき表現がある,
66e9d969-fb4a-4232-8344-a147da293f5c.webp,Trip,あり,該当なし,「1名あたりの価格：」「1人あたりの予算：」,表示なし（テンプレートラベルのみ、実際の価格数値は表示されていない）,あり,「50 Trip Coins」,画面上部のミッションバナー内,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「評価：」（テンプレートラベルのみ、実数値なし）,「投稿」,「1名あたりの価格：」と「1人あたりの予算：」という2種類の人数単価表現が同一画面内に混在しており、表記統一の観点で要確認。また「LV4ミッション (50 Trip Coins): 最初の投稿後、LV4にアップグレードすると、この報酬を受け取ります」というUGC投稿促進のインセンティブ文言が日本語ローカライズされている。,
6758a7c6-38cb-433f-b128-bc60314ebd81.webp,ソトアソビ,なし,該当なし,表示なし,価格表示なし,あり,「200 T」（各カード左上に表示）,カード上部左（画像の左上角）,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,投稿,各カテゴリに「投稿：391/500」「投稿：61/200」「投稿：15/200」「投稿：30/150」「投稿：13/150」「投稿：11/100」のように投稿数/上限数が黄色（オレンジ）テキストで表示されており、ハッシュタグ形式のカテゴリ名（#観光、#アートギャラリー、#アウトドア、#レジャー、#体験、#イベント）でUGC投稿募集型のキャンペーン画面と判断される。,
6b9dea09-da81-42ab-acc4-a6ad7acc5b4d.webp,Trip,あり,表示なし（税込・税別の明記なし）,表示なし,"大きな青字で割引後価格「56,221円」＋小さなグレー字に取消線で元値「64,794円」＋ピンクバッジで「13%オフ」",なし,該当なし,該当なし,あり,"元値「64,794円」に取消線＋青字で割引後価格「56,221円」＋ピンクバッジで「13%オフ」＋「新規会員特典で4,388円オフ！」",あり,「キャンセル無料」,あり,あり,「1（室）　2（大人）　0（子供）」（アイコン付き数値表示、ラベルテキストなし）,あり,「4.8/5　素晴らしい　43件の口コミ」＋「この都市の81%の同ランクホテルよりも高評価」,「客室タイプを選択」,「Trip Best ダナンのヴィラ 第2位」というランキングバッジ表示と、「最低価格保証」「変更・キャンセル保証」の信頼訴求テキストが価格セクション上部に並置されており、本地化観点で差別化要素として注目に値する。,
6e55c7ce-545c-402c-b478-a24bc7414510.webp,Trip,あり,該当なし,表示なし,"「最安値 6,397円」「最安値 6,528円」のように「最安値」ラベル＋大きな太字で価格のみ表示（元値・取消線なし）",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,"「4.6/5　139件のレビュー」「4.8/5　レビュー9,060件」「4.7/5　10件のレビュー」「4.8/5　レビュー3,400件」",該当なし,「2K+名が…」のように参加者数を略記表示している点、および「浦安のおすすめ観光スポット 第1位／第2位」というランキングバッジが観光地カードのみに付与されている点が本地化観点で注目される,
6ef2bfb4-5c44-40b2-b4ac-8a4ff162e36b.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,詳細はこちら,本画面は観光ガイドのトップページであり、閲覧履歴に「東京ディズニーランド」、バナーに「さくら2024 Trip.comでさくらの季節を楽しもう！」、国内タブに「東京・大阪・福岡・名古屋・札幌・沖縄・横浜・広島・京都」の目的地カードが表示されており、予約・価格関連の本地化要素は一切存在しない。,
71697785-073b-4490-9970-e3d371957155.webp,Trip,あり,該当なし,表示なし,「約508円」と括弧書きで補足表示（Trip Coins換算値のみ、宿泊料金の主価格表示は画面内に見当たらない）,あり,「324 Trip Coins を付与　（約508円）」,「特典情報」セクション内、「Trip Coins」見出しの直下,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,"予約をキャンセル, 予約を管理",予約番号「31943928662」とPINコード「9170」が画面上部に明示されており、予約確認画面特有の認証情報表示形式として本地化観点で注目に値する。,
71763934-50a4-43a0-8f01-4fe4d23e40eb.webp,Trip,あり,該当なし,表示なし,"大きな青字で割引後価格「56,221円」＋小さなグレー字に取消線で元値「64,794円」",なし,該当なし,該当なし,あり,"元値「64,794円」に取消線＋ピンク背景バッジで「13%オフ」",なし,該当なし,あり,あり,「定員：大人2名」＋「子供を追加›」,なし,該当なし,客室タイプを選択,"子供料金がUSD建て「US$95.00（約15,133円）（1泊1名につき）」と外貨＋円換算の併記形式で表示されており、ベビーベッド追加は「無料」と明示されている点が本地化観点で注目に値する。",
727eb8bb-92d6-471c-bdc9-80b4871ae358.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,検索,検索サジェスト画面であり、「人気」セクションに「新宿区」「浅草寺」「東京タワー」「東京スカイツリー」「渋谷」「皇居」、「人気の商品」セクションに「東京メトロ METRO＋都営地下鉄 1日券/2日券/3日券」（英字「METRO」混在・スラッシュ区切りによる複数券種併記）が確認され、観光・交通カテゴリに特化したローカライズ表現となっている。,
7a5b7f34-1c5b-456f-89fe-bfd0d5b3a6c0.webp,Trip,あり,該当なし,表示なし,「≒15円」を大きく表示、「Trip Coins 残高：10」を小さく上部に表示,あり,「Trip Coins 残高：10」「≒15円」「Trip Coins は現金感覚で利用OK」,コインバランスカード内、コインアイコンの左側,あり,「Trip Coins の付与が40%アップ」「ホテルが最大20%オフ」のバッジ表示（40%、20%）,なし,該当なし,なし,なし,該当なし,なし,該当なし,"更に獲得, 履歴",ダイヤモンド会員特典として「空港のVIPラウンジ利用無料 合計２回」「鉄道乗車券の払い戻し手数料無料 合計４回」など回数制限付き特典が×2・×4バッジで表示されており、会員ステータス訴求の本地化観点で注目される。,
7adccf59-7a4f-4042-a2ff-2d84351ac869.webp,Trip,あり,該当なし,表示なし,「JPY5898」単一価格のみ表示（通常サイズ・黒字）,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「4.6/5 155件の口コミ」および「4.6/5 とても素晴らしい レビュー：155件」,"レストランの予約, 口コミを投稿",「Trip Gourmet Awards 2023 ゴールド」「Trip Best 京都の現地の味を楽しめるレストラン 第4位」など受賞・ランキング表示が本地化観点で目立つ差別化要素として使用されている。,
7b0017d4-410c-4a6c-8099-b2230622254b.webp,Trip,あり,該当なし,表示なし,単一価格のみ表示（「JPY5898」のみ、小サイズのグレー系テキスト）,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「4.6/5　155件の口コミ」「4.9/5　9件の口コミ」「4.5/5」（数値バッジ+「/5」+「○件の口コミ」）,該当なし,「Trip Gourmet Awards ゴールド」「Trip Gourmet A... ブラックダイヤモンド」「Trip Best」など独自アワードバッジが複数形式で併用されており、受賞ランク表記の統一性に注意が必要。また「予約可」ラベルが緑色タグで表示されている。,
7bdf1fba-9cf8-4fc1-8a4b-02b19ad47832.webp,Trip,あり,該当なし,表示なし,"「前払い（オンライン）」ラベルと並列で青字「63,428円」を単一表示",あり,"お友達を招待すると、2,000円相当の Trip Coins がもらえる！",予約確認中バナーの直下カード内,なし,該当なし,あり,キャンセル無料 - 2024年10月7日 18:00 まで,なし,なし,該当なし,なし,該当なし,"予約をキャンセル, 予約を管理",チェックイン時間が「14:00〜00:00」と深夜0時またぎの表記になっており、「24:00」と「00:00」の混在（重要注記では「14:00〜24:00」）が本地化観点で表記統一の課題となりうる。,
80baf49f-7572-47a4-9100-eb511adb8c91.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,"「🔥8.6 祇園 4.8/5 7,677件の口コミ」「🔥8.2 嵐山 4.7/5 2,416件の口コミ」",該当なし,観光スポットに「Trip.Best」ブランドの独自スコア（🔥8.6など）とユーザー評価（4.8/5）の二重評価軸が併用されており、「数億人のお気に入り観光スポット」という社会的証明フレーズも使用されている。,
8209ebcb-6e3c-4847-8528-292436474370.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,あり,"「Sale」バッジ（航空券＋ホテルカテゴリアイコン上部に赤背景白字）、「GW旅セール!! ホテル&航空券 最大2,000円 クーポン配布中！」",なし,該当なし,なし,なし,該当なし,なし,該当なし,今すぐ確認,ホームページのナビゲーションカテゴリとして「ホテル」「航空券」「航空券＋ホテル」「列車」「遊び・体験」「空港送迎」「レンタカー」「その他(2)」が表示されており、旅行関連サービスの網羅的な日本語ローカライズが確認できる。また「今からタイへ！ フライト・ホテルセール中」「都心から行く 自然感じる宿 埼玉」など、訴求コピーが日本市場向けに作られている点が注目に値する。,
84544650-3e2e-4b5a-83f7-511e0184a4dc.webp,Trip,あり,該当なし,表示なし,"単一価格のみ大きく表示（「63,428円」）",あり,「10 Trip Coinsがご利用可」「10 Trip Coins で15円オフ」「15円オフ」,価格の下部セクション（Trip Coinsエリア）およびCTAボタンの上,あり,「15円オフ」バッジ表示（Trip Coins使用時の割引額として表示）,あり,「キャンセル保証」,あり,なし,「客室数 1」,なし,該当なし,"「使用する」, 「今すぐ支払う」","「最低価格保証」の文言が画面下部に表示されており、価格競争力の訴求が決済画面でも継続されている点が本地化観点で注目される。また宿泊日程が「水, 11月6日-木, 11月7日」と曜日付きで表示されている。",
84e924ee-2bf3-44e0-8c84-336e56eb6b00.webp,Trip,あり,該当なし,表示なし,単一価格のみ表示（「無料」と緑色テキストで表示）,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,"追加, OK",「ロック中」という会員ステータスによるベネフィットのロック状態表示と、「会員特典」バッジラベルが本地化観点で注目すべき表現であり、特典解放条件（「8件の予約を完了して、ダイヤモンド会員特…」）がダイヤモンド会員向けに設定されている点も特徴的。,
8577420d-0af9-4cc8-83f4-10324ee204f4.webp,Trip,あり,"別途料金（税など）8,673円／付加価値税 5,875円／サービス料 2,798円",1室×1泊,"明細形式：基本料金77,499円＋別途料金8,673円から割引3項目を差し引き、最終支払額「63,428円」を太字大きく表示",あり,324 Trip Coins を付与（約508円）,最終支払額の下部,あり,"マイナス表記（青字）で3種類列挙：「早期割引 -12,926円」「初回予約価格 -8,618円」「ホテル初回予約割引クーポン -1,200円」",なし,該当なし,なし,なし,該当なし,なし,該当なし,表示,「前払い ✓支払い済み」という支払いステータス表示があり、完了画面での決済確認ラベルとして本地化上注目すべき表現。またTrip Coinsの円換算（約508円）併記は価値可視化の手法として特徴的。,
860e9ac4-5f84-4a3d-87a6-10c16ec00a11.webp,Trip,なし,該当なし,表示なし,価格表示なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,"「9.4」（赤バッジ）＋「4.8/5 9,060件の口コミ」",該当なし,並び替えオプションとして「おすすめ」「旅行者による評価（レビュー・評価数でランク付け）」「人気順」「販売量（多い順）」「距離（近い順）」が表示されており、現在「おすすめ」が選択済み（青チェック）。また「Trip Best」「浦安のおすすめ観光スポット第1位」という編集バッジ表記が確認できる。,
88195984-3a57-40ba-bb80-18e2a50ad988.webp,Trip,あり,該当なし,表示なし,"大きな黒字で割引後価格（例：「2,744円」「1,957円」）＋ピンク背景バッジで割引額（例：「2,156円オフ」「-293円」）",なし,該当なし,該当なし,あり,"ピンク背景バッジに割引額を表示（例：「2,156円オフ」「-293円」）、元値への取消線なし",あり,「いつでもキャンセル可」（東京ジョイポリスのカードに表示）,なし,なし,該当なし,あり,「🔥7.6」「4.6/5　988件の口コミ」（Trip独自スコア＋ユーザー評価スコア＋口コミ件数を併記）,該当なし,Trip Best バッジに「東京の家族連れにおすすめ 第3位」などランキング形式の訴求テキストが付与されており、ファミリー向けセグメントを明示的に訴求している点が本地化観点で注目される。,
88af5a9f-fb1d-4860-9a0b-4b1ee3170bec.webp,Trip,あり,該当なし,1泊1名につき,"大きな青字で割引後価格（56,221円）＋小さなグレー字に取消線で元値（64,794円）",なし,該当なし,該当なし,あり,"元値に取消線（64,794円）＋ピンクバッジで「13%オフ」",なし,該当なし,なし,あり,該当なし,なし,該当なし,客室タイプを選択,子供料金が年齢帯（2歳以下／3〜11歳／12歳以上）ごとにUS$建てと円換算（約○○円）の併記で表示されており、大人朝食料金は「ホテルに連絡」と案内されている点が本地化上の注目ポイント。,
8a377b27-43be-413b-99ba-fde04e032104.webp,Trip,あり,"13,050円（税込み）",1泊あたり（税込み）,"小さなグレー字で元値に取消線（13,333円）＋大きな青字で割引後価格（13,050円）",なし,該当なし,該当なし,あり,"元値に取消線（13,333円）＋青字で割引後価格（13,050円）",あり,キャンセル無料,あり,なし,大人２名,あり,4.4/5 とても良い 103件の口コミ,該当なし,"マップ上の価格ピンはすべて「円」表記で統一されており、絞り込み条件に「>13,000円」という下限価格フィルターが使用されている点が本地化観点で特徴的。また「食事付き」ラベルがキャンセルポリシーと並列表示されている。",
8b47ae8c-547b-4895-ad9d-c6b9925e3988.webp,Trip,あり,税サ込,1泊1室あたり,"「13,000円以上」のテキスト表示＋スライダーで範囲指定、価格帯ボタン（「0円 - 3,000円」「3,000円 - 7,000円」「7,000円 - 11,000円」「11,000円 - 21,000円」「21,000円 - 55,000円」「>55,000円」）で区分選択",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「まあまあ良い 3以上」「良い 3.5以上」（フィルター選択肢として表示）,OK(300+),税表示が「税込」ではなく「税サ込」（税金＋サービス料込み）と表記されており、ホテル業界特有の料金表示形式が使用されている点、およびホテルランクに「ラグジュアリー(8)」「ラグジュアリーPLUS(3)」という独自カテゴリが存在する点が本地化観点で注目される。,
9125e18f-d63c-457f-97f9-cb5078e5c5fc.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「4.7/5 素晴らしい」（口コミ総数は画面上部「43件の口コミ」、写真付き口コミ「(29)」）,該当なし,口コミフィルターとして「客室タイプ」「旅行タイプ」「言語」「並べ替え」のドロップダウンが存在し、客室タイプの選択肢として「全ての客室タイプ」「プールヴィラ（1ベッドルーム）」「オーシャンフロントヴィラ（3ベッドルーム）（プール）」が表示されている。,
92915be4-920f-4827-84aa-6c3cefaf03ed.webp,Trip,なし,安い順（税込）、高い順（税込）,表示なし,該当なし（並べ替えメニューが前面表示中のため価格非表示）,なし,該当なし,該当なし,あり,"「最大20%オフ」「8%割引（最大1,200円割引）」（バナー形式、赤字タグ表示）",あり,「キャンセル無料」,あり,なし,「大人２名」,あり,「4.7/5 素晴らしい 348件の口コミ」,該当なし,並べ替え選択肢に「Trip.comおすすめ」「安い順（税込）」「高い順（税込）」「高評価」「ホテルランク（高い順）」「距離（近い順）」の6項目があり、税込表記がソートラベルに埋め込まれている点が本地化観点で特徴的。,
936dbc1b-e968-4c6e-936e-bd43b6ed6c12.webp,Trip,あり,該当なし,表示なし,"青字で「63,428円」を単一価格として表示",あり,"「お友達を招待すると、2,000円相当の Trip Coins がもらえる！」",キャンセルポリシー情報カードの直下（予約完了画面の中段）,なし,該当なし,あり,「キャンセル無料 - 2024年10月7日 18:00 まで」,なし,なし,該当なし,なし,該当なし,「表示」,支払い方式が「前払い（オンライン）」と明記されており、予約番号・PINコードも画面上部に露出している点が本地化観点で特徴的。,
971f3091-daa8-43e7-a6c4-0e1f72868f44.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,通貨選択画面であり、「おすすめ」セクションに「JPY - 日本円」がチェック済みで表示され、「通貨一覧」にAED・AUD・BHD・BRL・CAD・CHF・CNY・DKK・EUR・GBP・HKD・IDRが列挙されている。一部通貨（AUD・EUR・GBP・HKD）は括弧内に記号（AU$・€・£・HK$）を併記しているが、JPYには記号併記なし。,
99cdead2-eb41-42c2-b924-ee174d791629.webp,Trip,あり,税サ込,1泊1室あたり（税サ込）,"価格範囲フィルター表示のみ（「13,000円以上」スライダー＋「0円－3,000円」「3,000円－7,000円」「7,000円－11,000円」「11,000円－21,000円」「21,000円－55,000円」「>55,000円」のボタン選択形式）",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,5★(56)、4★(100+)、3★(100+)（絞り込み履歴・ホテルランク両セクションに件数付きで表示）,結果を表示（300+）,「税サ込」という表記は「税金・サービス料込み」を意味する日本のOTA特有の省略表現であり、一般的な「税込」と区別して訳出・扱いに注意が必要。,
9a677bd8-5739-4324-9a80-e32a53016019.webp,Trip,あり,該当なし,表示なし,"大きな青字で価格表示（「24,810円」「26,814円」「56,221円」）＋小さなグレー取消線で元値（「64,794円」）",なし,該当なし,該当なし,あり,"元値に取消線（「64,794円」）＋ピンク地バッジで「13%オフ」",あり,「キャンセル無料」,なし,なし,該当なし,あり,「4.7/5　127件の口コミ」「4.5/5　245件の口コミ」,「客室タイプを選択」,「Trip.comの強み」セクションに「最低価格保証」「旅行して特典をゲット」「24時間年中無休」の3点が明示されており、信頼訴求テキストが本地化上の差別化要素として使用されている。,
9b19e0a9-cb47-4b44-b4d0-5338353c1dc2.webp,Trip,あり,"合計金額：57,354円 1室×4泊（税込み）",1室×4泊（税込み）,"取消線付きの元値（28,151円）＋大きな赤字で割引後価格（14,339円）＋合計金額を小さく表示",あり,"1,516円相当の Trip Coins 付与",合計金額の直下（カード最下部）,あり,"「連泊割引」バッジ＋「49%オフ」赤バッジ＋元値に取消線（28,151円）＋赤字割引後価格（14,339円）／「シルバー会員割引」バッジ＋「297円オフ」赤バッジ＋取消線元値（23,936円）＋赤字割引後価格（23,639円）",あり,キャンセル無料,なし,なし,該当なし,あり,4.6/5 非常に良い 306件の口コミ／4.6/5 非常に良い 58件の口コミ,"地図, お気に入り",「食事付き」「TripPlus」「広告」ラベルや「ダナンの絶景ホテル 第8位」「ディエンバンの豪華なホテル 第3位」といったランキング訴求表示が本地化観点で注目される。,
9b8b58c1-3552-476d-b341-3fcf6cc7ac19.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,投稿,"タグ検索画面にて「#京都（投稿：1,903件）」「#京都観光（投稿：1,625件）」「#京都旅行（投稿：1,170件）」「#京都グルメ（投稿：379件）」「#京都ホテル（投稿：200件）」と投稿件数が「投稿：○○件」形式で表示されており、ローカライズ観点では件数の数値フォーマット（カンマ区切り）と「件」という単位表記が注目点。",
9bf2735e-3c30-49a4-8fa6-bc63eb54c9eb.webp,Trip,あり,該当なし,表示なし,"大きな黒字で割引後価格「63,413円」＋小さなグレー字に取消線で元値「63,428円」",あり,「Trip Coins　-15円」「10 Trip Coins すべてが適用されました」,価格の直下・支払い方法セクションの上部,あり,"元値「63,428円」に取消線＋割引後価格「63,413円」を大きく表示",あり,「キャンセル保証」,あり,なし,「客室数 1」,なし,該当なし,「今すぐ支払う」,「最低価格保証」の表示がCTAボタン下部に併記されており、信頼性訴求の本地化表現として注目に値する。また支払い期限カウントダウン「00:29:47以内にお支払いください」が緊急性を促す表示として使用されている。,
9c547eb3-2565-4fde-a6a8-e88088ddf184.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,あり,該当なし,なし,該当なし,客室タイプを選択,有料オプションに「有料」バッジを使用（「ドライクリーニング 有料」「アイロンサービス 有料」「ランドリーサービス 有料」「FAX・コピーサービス 有料」）、子ども向け施設カテゴリとして「お子様向け施設」「お子様向けのお食事」という敬称表現が使われている点が本地化観点で注目される。,
9d72b78c-e5b5-44ad-b48e-b69a8adb38cc.webp,Trip,あり,"合計金額：56,042円（税込み）",1室×4泊（税込み）,"大きな青字でシルバー会員価格（14,010円）＋小さなグレー字で合計金額（56,042円）と泊数内訳",なし,該当なし,該当なし,あり,"「最大20％オフ」バッジ＋「8%割引（最大1,200円割引）」バナー、および「283円オフ」バッジ（ペニンシュラホテル）、「シルバー会員価格」ラベル",あり,「キャンセル無料」,あり,なし,「大人２名」,あり,「4.7/5 素晴らしい 348件の口コミ」「4.4/5 とても良い 103件の口コミ」,"地図, お気に入り",「ダナンの４つ星特選ホテル 第２位」「ダナンのラグジュアリーホテル 第20位」というランキングラベルが本地化観点で注目される独自表示。,
a03f15a5-8b7c-4a10-be0e-d5bf5b4c497d.webp,Trip.com,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,あり,「全ての割引」「会員限定割引」「ホテル初回予約割引クーポン」のラベルボタンとして表示,あり,「キャンセル無料」,なし,なし,該当なし,なし,該当なし,結果を表示（300+）,絞り込みフィルター画面であり、「支払い方法」に「前払い」「現地払い」、「予約条件」に「キャンセル無料」「即時確認」、「ホテルブランド」にA25 Hotel Group (1)・Bay Hotels & Resorts (1)・M Group (2)と件数付きで表示されており、ローカライズ観点では件数表示の括弧書き形式と「更に表示」リンクの使い方が注目される。,
