ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
a97a1f49-9653-45be-91e1-032c01cd8746.webp,Trip.com,その他,旅行,リスト式,"ブルー (#2B5FE8), ホワイト, ティール (#2AABA8)","ツールバー, バナー・アラート, リスト, タグ・ラベル",キャンセル・返金,通常状態,低,キャンセル完了までの4ステップ進捗をタイムライン形式で表示し、現在の最終ステップをティール色の塗りつぶし円で強調している。,
ad94377d-a5f4-4043-8e75-d4cf596d400e.webp,Trip.com,購入・予約,旅行,リスト式,ブルー（#3D5AFE系）、ホワイト、オレンジ（アスタリスク）,"ラジオボタン, ボタン, ツールバー, バナー・アラート, タグ・ラベル",キャンセル・返金,通常状態,中,"無料キャンセル可能である旨をヘッダーで強調表示し、7つのキャンセル理由をラジオボタンで選択させ、画面下部に返金見込み額（63,428円）と送信ボタンを固定表示する構成。",
aeecbcaf-2164-484f-91bc-b595f7e0d126.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,"ネイビーブルー (#1a3a6b), ホワイト (#ffffff), ブルー (#4169e1)","ボタン, タブ・セグメントコントロール, マップ, リスト, タグ・ラベル, ツールバー",選択,通常状態,中,「周辺情報」タブ内でGoogleマップのサムネイルと交通機関・ランドマークの切替タブを組み合わせ、空港・駅までの距離と所要時間をリスト形式で表示している。,
b2f0121b-9144-44e6-b74b-2cd4aa8c610c.webp,Trip.com,口コミ・レビュー,宿泊旅行,リスト式,ブルー（#3D5AF1）、ホワイト、グレー,チェックボックス、ボタン、シート、アバター、タグ・ラベル、ツールバー、ドロップダウン,フィルタ・並び替え,通常状態,中,言語フィルター選択用のボトムシートが全画面下部からオーバーレイ表示され、日本語・英語の2項目がチェック済み状態で、「結果を表示」ボタンが固定配置されている。,
b46fe196-4464-4cf0-a08e-cff18623a40a.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,"ネイビーブルー (#1A6FBF), ホワイト, ライトグレー","ボタン, タブ・セグメントコントロール, カード, カルーセル, アバター, タグ・ラベル, バッジ, ツールバー",購入・予約,通常状態,中,ホテル詳細ページの『ご利用条件』タブが選択された状態で、対応クレジットカードブランド（VISA/AMEX/Mastercard/JCB/Diners）のロゴ一覧、ユーザー投稿型の『滞在のインスピレーション』カルーセル、および画面下部に割引価格と客室選択CTAボタンが固定表示されている。,
be0b5ec8-f94a-4655-996a-6a611b025921.webp,Trip.com,コンテンツ詳細,旅行,リスト式,"ネイビー, ブルー, ホワイト, ライトグレー",タブ・セグメントコントロール/ツールバー/リスト/タグ・ラベル/ボタン,選択,通常状態,高,ホテルの設備・アメニティ情報をカテゴリ（インターネット・駐車場・交通・レストラン・フロントデスク）ごとにアイコン付き見出しで区切り、有料・無料のラベルタグを併記したリスト形式で表示し、画面下部に固定CTAボタン（客室タイプを選択）を配置している。,
c331dc91-b1b6-4c0f-9847-77341bece280.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,ブルー（#1E6FCC系）、ホワイト、グレー,"ボタン, タブ・セグメントコントロール, リスト, タグ・ラベル, ツールバー, バッジ","選択, 購入・予約",通常状態,,ホテル詳細画面の「設備・アメニティ」タブが選択された状態で、アメニティ一覧・ホテル概要・チェックイン条件がセクション分けして縦スクロール表示され、画面下部に割引価格と予約CTAボタンが固定表示されている。,
c6038aaf-785a-46ba-9593-787d6b56f46e.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ホワイト, ブルー, ゴールド, ベージュ","ボタン, タブ・セグメントコントロール, レーティング, カード, タグ・ラベル, バッジ, アバター, ツールバー, リスト, ページコントロール","選択, 購入・予約",通常状態,高,ホテル詳細画面にタブナビゲーション・Trip Bestランキングバッジ・サービス評点・口コミプレビュー・連絡先情報を縦スクロール形式で集約し、最下部に固定CTAボタンを配置した構成。,
d17c298a-ecf9-4bcb-ad78-139edb025129.webp,Trip.com,コンテンツ詳細,旅行,グリッド,"ホワイト, ネイビーブルー, ブラック","タブ・セグメントコントロール, タグ・ラベル, バッジ, カード, リスト, ツールバー",選択,通常状態,中,「ホテル提供」と「ユーザー投稿」の2タブ構成で、カテゴリ別（外観・客室・食事等）フィルタタグを上部に配置し、2カラムグリッドで写真を分類表示している,
d6957b3e-4099-4c98-87ee-54205b4a30a1.webp,Trip.com,口コミ・レビュー,旅行,リスト式,"ネイビーブルー (#1A3C6E), ホワイト (#FFFFFF), ライトグレー (#F5F5F5)","ボタン, レーティング, ページコントロール, タブ・セグメントコントロール, ドロップダウン, シート, リスト, タグ・ラベル, バッジ, ツールバー",フィルタ・並び替え,通常状態,高,口コミ一覧画面上にボトムシート形式の並び替えメニュー（関連度/新しい順/評価高低）がオーバーレイ表示され、現在選択中の項目にチェックマークが付いている。,
d9561b9b-31af-4a68-8f61-fba20fa95921.webp,Trip.com,口コミ・レビュー,旅行,リスト式,ブルー（#2563EB）、ホワイト、グレー、ゴールド（評価バッジ）,"ボタン, ドロップダウン, アバター, タグ・ラベル, バッジ, リスト, カード, ツールバー","レビュー・評価, フィルタ・並び替え",通常状態,中,レビュー一覧画面に客室タイプ・旅行タイプ・言語・並び替えの4つのフィルタードロップダウンと写真付き口コミ絞り込みボタンを上部に配置し、各レビューにはスコアバッジ・宿泊情報・本文・複数枚の写真グリッド・ホテル返信を含む構成となっている。,
db258fdb-9499-4b42-98d7-f01166d5c2b9.webp,Trip.com,クーポン・リワード,旅行,カード式,"ホワイト, ピンク/レッド, ネイビーブルー, ゴールド","ボタン, カード, タグ・ラベル, バナー・アラート, ツールバー, リスト",購入・予約,通常状態,中,"新規会員向け特典として「最大20%オフ割引」「8%割引クーポン（最大1,200円）」「最大5%相当のTrip Coins獲得」の3種類の特典をカード形式で縦並びに整理し、最下部に固定CTAボタンを配置したモーダルシート構成。",
08443998-bd98-43df-8b57-4a38c5088e41.webp,Trip.com,クーポン・リワード,旅行,カード式,"ブルー (#1E40FF系), ピンク/レッド (#FF4D6A系), ゴールド (#F5A623系), ホワイト","ボタン, カード, カルーセル, タグ・ラベル, バッジ, ページコントロール, ツールバー, リスト, アバター",選択,通常状態,中,会員ランク進捗をステップ式アイコンで可視化し、新規会員向けクーポン（8%・20%オフ）とTripコイン残高をカード分割で並列表示する構成。,
111d0419-b7d0-454a-93aa-3c1563fb5bba.webp,Trip.com,クーポン・リワード,旅行,リスト式,"ネイビー (#1B2A5E), ゴールド (#F5A623), ベージュ (#FDF3E3), ホワイト (#FFFFFF)","ボタン, タブ・セグメントコントロール, リスト, バナー・アラート, タグ・ラベル, ツールバー",該当なし,通常状態,中,Trip Coins残高・円換算表示をヘッダーに配置し、付与履歴を日付・有効期限・付与数とともにリスト形式で列挙、上部タブで「全て/付与済み/利用済み/期限切れ」のフィルタ切替が可能な構成。,
1967377c-760c-489c-8e2b-9fa5b2c033cf.webp,Trip.com,クーポン・リワード,旅行,全画面,ブルー（#1A6FD4系）、ゴールド（#F5A623系）、ホワイト、ライトブルー背景,"テキストフィールド, バナー・アラート, タグ・ラベル, ツールバー",該当なし,通常状態,低,Trip Coinsの価値換算（100コイン＝$1≒156円）と利用用途（予約・ホテル特典交換）をイラストとテキストで縦スクロール型に説明するガイドページ構成。,
1a221dd6-2954-4884-9fdd-5a978b643158.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ホワイト, ブルー(#3B5BDB), グレー","チェックボックス, ボタン, リスト, タブ・セグメントコントロール, ツールバー","フィルタ・並び替え, 選択",通常状態,中,左ペインにカテゴリ大分類、右ペインに小分類チェックボックスを配置した2カラム構造のモーダルシートで、「遊園地」「テーマパーク」の2項目が選択済み状態となっており、下部に検索結果件数(878件)を表示するCTAボタンとクリアボタンが配置されている。,
1fd596d2-3ffa-43c5-a5b4-4fb0465c6246.webp,Trip.com,クーポン・リワード,旅行,カード式,"ネイビーブルー (#1A237E), ホワイト (#FFFFFF), ロイヤルブルー (#3F51B5)","ボタン, ダイアログ, シート, カード, タグ・ラベル, バッジ, ツールバー, ページコントロール",選択,通常状態,,モーダルダイアログ内に特典詳細と会員特典カード（チェックマーク付き）が重なって表示され、ロック中ステータスと対象地域の制限条件が明示されている構成。,
215a40b6-301a-4cc4-9031-fa43806d0559.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,ホワイト/#2B5CE6（ブルー）/#FF6B35（オレンジ）/グレー,"ボタン,タブ・セグメントコントロール,検索フィールド,シート,ドロップダウン,リスト,カード,タグ・ラベル,バッジ,ツールバー",フィルタ・並び替え,通常状態,中,ボトムシートで「エリア」フィルターが展開され、左列に「直線距離」「人気エリア」のカテゴリタブ、右列に2km〜100kmの距離選択リストが並ぶ2カラム構成になっており、下部に検索結果件数(878件)付きのCTAボタンとクリアボタンが固定表示されている。,
28209272-e9ef-4c53-930c-d838eee9f59e.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ホワイト, ブラック, グリーン（#00AA6C）, オレンジ（#FF6B00）, ブルー（#3B82F6）","カード, カルーセル, レーティング, タグ・ラベル, バッジ, アバター, ツールバー, テキストフィールド, マップ, バナー・アラート, リスト","検索, 選択",通常状態,高,ヒーローイメージ上部に口コミ引用テキストを重ね、評点・営業時間・住所・SNS投稿カルーセル・詳細情報を縦スクロール型で一画面に集約した観光スポット詳細ページ構成。,
32591fa2-fa11-4527-9aaa-41f27a234372.webp,Trip.com,クーポン・リワード,旅行,カード式,"ネイビーブルー, ゴールド, ホワイト, ロイヤルブルー","ボタン, スイッチ・トグル, ダイアログ, カード, ページコントロール, ツールバー, バッジ",オンボーディング,通常状態,中,モーダルシート上にTrip Coinsの現金換算レート（100コイン＝約157円）と利用可能シーン説明、決済画面UIのモックイメージ、トグル付きコイン適用プレビューカードを重ねて表示する多層構造レイアウトを採用している。,
399273bd-0d8f-42cb-9746-1fda0943f5d9.webp,Trip.com,検索結果,旅行,カード式,"ネイビー, ホワイト, オレンジ・レッド（スコアバッジ）, ブルー（評価テキスト）","検索フィールド, タブ・セグメントコントロール, ドロップダウン, タグ・ラベル, カード, リスト, レーティング, バッジ, ツールバー","検索, フィルタ・並び替え",通常状態,高,各カードにTripBestバッジ・スコア・星評価・口コミ件数・カテゴリ・距離情報を重畳表示し、上部にカテゴリタブと複数のフィルタ用ドロップダウン、クイックフィルタボタンを組み合わせた多層フィルタ構造を持つ観光スポットチケット一覧画面。,
451eb014-5f67-41d0-8e4c-4bcf7136faf6.webp,Trip.com,口コミ・レビュー,旅行,グリッド,"ホワイト, ネイビーブルー, ライトグレー","タブ・セグメントコントロール, カード, アバター, ツールバー, バッジ",レビュー・評価,通常状態,中,「Tripメモリー」セクションにて2列グリッドレイアウトで投稿者名・サムネイル・いいね数を含むUGCカードが4枚表示され、下部に「更に表示」リンクと口コミ投稿ボタンが配置されている。,
558b63be-55c4-4e0a-965c-9281548909e3.webp,Trip.com,クーポン・リワード,旅行,リスト式,"ブルー (#1E7EF7), ホワイト, オレンジ/ゴールド","ボタン, タブ・セグメントコントロール, バナー・アラート, タグ・ラベル, カード, リスト, レーティング, ツールバー","選択, 検索",通常状態,中,Trip.com Rewardsの会員特別割引ページで、国内／海外ホテルのタブ切替・無料キャンセル有無・都道府県フィルタ・日付絞り込みを1画面に集約し、最大50%割引の訴求バナーとホテルリストを縦スクロールで構成している。,
56d380a0-00f3-4faa-9ef6-0d7c93677480.webp,Trip.com,メッセージ・お知らせ,旅行,全画面,"ダークネイビー (#1B2A4A), ホワイト (#FFFFFF), ブルー (#2B5CE6)","ボタン, レーティング, ダイアログ, シート, アバター, ツールバー, タグ・ラベル","チャット・メッセージ, レビュー・評価, キャンセル・返金",通常状態,中,チャットボット画面上にボトムシートとしてサービス評価モーダルが重なって表示されており、5段階の絵文字レーティングと問題解決有無の二択ボタンを組み合わせたフィードバックUIが実装されている。,
60e09510-bd97-4ef1-b326-199b76355a04.webp,Trip.com,クーポン・リワード,旅行,カード式,"ダークブルー (#1A237E), ホワイト (#FFFFFF), ゴールド (#FFA000), ライトブルー (#E8EAF6)","ボタン, カード, バナー・アラート, アバター, ツールバー, タグ・ラベル, ページコントロール, ダイアログ",オンボーディング,通常状態,中,モーダルシート形式でTrip Coinsの獲得説明を表示し、予約完了後に獲得予定の80 Trip Coinsをカード内でハイライト表示、ページコントロールドットで複数ステップ構成を示している。,
6e55c7ce-545c-402c-b478-a24bc7414510.webp,Trip.com,検索結果,旅行,カード式,ブルー（#0066CC）、ホワイト、オレンジ（評価バッジ）,"検索フィールド, タブ・セグメントコントロール, ドロップダウン, カード, タグ・ラベル, レーティング, バッジ, フロートボタン, ツールバー","検索, フィルタ・並び替え",通常状態,高,検索結果一覧を横長サムネイル＋テキスト情報のカード形式で縦スクロール表示し、評価スコア・レビュー件数・最安値・当日／前日予約可などのフィルタタグを各カードに付与している。,
727eb8bb-92d6-471c-bdc9-80b4871ae358.webp,Trip.com,検索,旅行,リスト式,"ネイビー, ホワイト, ブルー","検索フィールド, ボタン, リスト, タグ・ラベル",検索,通常状態,低,検索フィールドにフォーカスした状態で、人気スポット一覧（新宿区・浅草寺・東京タワー等6件）と人気商品セクション（東京メトロ券）がサジェストとして表示され、日本語フルキーボードがオーバーレイしている。,
7a5b7f34-1c5b-456f-89fe-bfd0d5b3a6c0.webp,Trip.com,クーポン・リワード,旅行,カード式,"ブルー (#2B5CE6), ゴールド (#F5A623), ホワイト, パープル","カード, カルーセル, ボタン, タグ・ラベル, バッジ, ページコントロール, ツールバー, アバター",該当なし,通常状態,中,ダイヤモンド会員ステータス（ロック中）とTripCoins残高・換算額を上部に表示し、会員特典（コイン付与率アップ・VIPラウンジ・ホテル割引・鉄道払戻無料）を2列グリッドカードで列挙する構成。,
84e924ee-2bf3-44e0-8c84-336e56eb6b00.webp,Trip.com,クーポン・リワード,旅行,カード式,"ダークブルー (#1A237E), ホワイト (#FFFFFF), ティール/シアン (#00BCD4), ライトブルー (#E8EAF6)","ボタン, ダイアログ, カード, タグ・ラベル, ツールバー, ページコントロール, バッジ",選択,通常状態,,モーダルダイアログ内に特典説明テキスト・図解カード・CTAボタンを縦積みで配置し、ロック状態の会員特典（空港VIPラウンジ無料利用）の詳細と利用フローをワンスクリーンで提示している。,
860e9ac4-5f84-4a3d-87a6-10c16ec00a11.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ホワイト, ネイビーブルー, レッド","ボトムシート, タブ・セグメントコントロール, 検索フィールド, ドロップダウン, タグ・ラベル, カード, リスト, バッジ, ツールバー",フィルタ・並び替え,通常状態,中,ボトムシートで並び替えオプション（おすすめ・旅行者による評価・人気順・販売量・距離）を表示し、現在選択中の「おすすめ」にチェックマークとブルーハイライトで選択状態を明示している。,
88195984-3a57-40ba-bb80-18e2a50ad988.webp,Trip.com,検索結果,旅行,カード式,"ホワイト, オレンジ, ブルー, ピンク","検索フィールド, タブ・セグメントコントロール, ドロップダウン, ボタン, カード, タグ・ラベル, バッジ, レーティング, ツールバー, リスト","検索, フィルタ・並び替え",通常状態,高,検索結果カードに価格・割引額・評価スコア・Trip Bestバッジ・距離情報・即日予約可否タグが集約して表示されており、上部に並び替え・カテゴリー・エリア・絞り込みの4種フィルターと3種のクイックフィルターボタンが配置されている。,
a84b7070-d449-4418-ba77-7e2f1a0186d7.webp,Trip.com,クーポン・リワード,旅行,カード式,"ネイビーブルー, オレンジ, ホワイト","カード, タグ・ラベル, ツールバー, リスト, バナー・アラート",該当なし,通常状態,中,ホテル予約・航空券予約・コンテンツ投稿・アプリ利用など複数のサービスカテゴリ別にTrip Coins獲得条件を独立したカードで区分して表示している。,
b01016c5-cce8-4974-ac83-9143ad4a34c1.webp,Trip.com,検索,旅行,グリッド,"ネイビー (#1a2a5e), ホワイト (#ffffff), ライトグレー (#f5f5f5), ブルー (#4a6cf7)","検索フィールド, ボタン, タグ・ラベル","検索, 選択",通常状態,中,人気都市・日本・中国・アメリカ・韓国の地域別カテゴリに分類された都市選択グリッドで、現在選択中の都市（東京）が青枠でハイライト表示されている。,
b28f2878-0580-44a0-8301-002d3f579adb.webp,Trip.com,口コミ・レビュー,旅行,カード式,"ブルー (#1B4FD8), ホワイト, レッド, グレー","ボタン, ページコントロール, ステッパー, バナー・アラート, タグ・ラベル",レビュー・評価,通常状態,中,プログレスバー付きの単一設問NPS形式アンケート画面で、0〜10の数値ボタン選択UIとスコール両端に絵文字・テキストラベルを配置している。,
b4a79bc9-8653-49f1-baf9-2e333995727e.webp,Trip.com,口コミ・レビュー,旅行,リスト式,"ネイビーブルー, ホワイト, グレー","タブ・セグメントコントロール, カード, アバター, タグ・ラベル, レーティング, バッジ, ツールバー, リスト",レビュー・評価,通常状態,高,レビュー一覧画面にて、5.0/5のスコア・投稿日・予約確認済みバッジ・テキスト本文・複数枚の写真サムネイル（追加枚数バッジ付き）がレビュー単位でセットになったカード構造を採用している。,
b9277807-5a1e-4fb0-8680-17c31a56b23b.webp,Trip.com,フィルタ・並び替え,旅行,シート,"ホワイト (#FFFFFF), ブルー (#3D5AFE), グレー (#F5F5F5)","ボタン, タグ・ラベル, シート, ツールバー, バッジ, チェックボックス",フィルタ・並び替え,通常状態,低,ボトムシート形式のフィルターパネルに「チケット予約」「観光スポットの評価」「レビュー数」の3カテゴリが縦並びで配置され、選択済み項目はブルーの枠線とチェックマークで視覚的に区別されている。,
bc845b9f-58be-4671-a6fc-216183a96017.webp,Trip.com,クーポン・リワード,旅行,タブ切替,ゴールド（#F5A623）、ネイビー（#1A2E5A）、ホワイト（#FFFFFF）、ライトイエロー（#FFF8E7）,タブ・セグメントコントロール、バナー・アラート、ツールバー、タグ・ラベル、アバター,該当なし,エンプティステート,低,「利用済み」タブ選択時にTrip Coins残高（10枚≈15円）を上部に表示しつつ、利用履歴が存在しない場合のエンプティステートをイラストと「履歴はありません」テキストで構成している。,
bdde7cdf-d5cd-4350-9159-28b676c34013.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ネイビーブルー (#1A3A6B), ホワイト (#FFFFFF), ライトグレー (#F5F5F5), ブルー (#2979FF)","タブ・セグメントコントロール, ツールバー, リスト, カード, アバター, タグ・ラベル, バッジ, レーティング, テキストフィールド, ボタン",レビュー・評価,通常状態,中,施設詳細ページにタブ切替（概要/詳細/レビュー/周辺）を採用し、アメニティアイコン一覧・評価スコア・口コミ件数・フィルタチップを1画面内に縦積みで構成している。,
c1066722-70a6-479a-a075-9c878f16ef50.webp,Trip.com,クーポン・リワード,旅行,カード式,"ブルー (#1677FF系), オレンジ (#FF6B00系), ホワイト, ピンク","ボタン, バナー・アラート, カード, リスト, タグ・ラベル, ツールバー, アバター","招待, シェア",エンプティステート,中,友人招待プログラムのページで、招待人数（1〜4名以上）に応じた獲得Trip Coins数と円換算額をステップ形式で視覚化し、招待中0件・完了0件・獲得合計0円のエンプティ状態を下部に表示している。,
c7fbd6b7-7bc1-46ff-9b81-069baab0b523.webp,Trip.com,おすすめ・類似アイテム,旅行,カード式/タブ切替,ホワイト/#1A73E8（ブルー）/オレンジ/ピンク,ボタン/タブ・セグメントコントロール/カード/リスト/タグ・ラベル/バッジ/レーティング/ツールバー/バナー・アラート,選択/購入・予約,通常状態,高,東京ディズニーランド周辺のホテル一覧を「ホテル/観光スポット/レストラン/店舗」のタブで切り替え表示し、各カードに星評価・口コミ数・距離・価格・割引バッジを集約したリスト構成になっている。,
d83b0ddc-053f-4b69-a97b-4f3128b494d0.webp,Trip.com,口コミ・レビュー,旅行,全画面,"ブルー (#1A56F0), ホワイト, グレー, イエロー（絵文字）","ボタン, レーティング, テキストフィールド, タグ・ラベル, アバター, シート, ダイアログ, ツールバー",レビュー・評価,通常状態,中,チャットボット評価用モーダルシートに、5段階の絵文字レーティング・複数選択タグ・自由記述テキストフィールド・問題解決有無の二択ボタンが縦に一画面内へ集約されている。,
e8bb9912-b4c3-469e-93e6-d51c4452396d.webp,Trip.com,クーポン・リワード,旅行,グリッド,"パープル (#6B4EFF系), ホワイト, ダークネイビー","カード, リスト, アコーディオン, ボタン, ツールバー",該当なし,通常状態,中,リワード特典を2カラムグリッドのカードで視覚的に整理し、下部にFAQアコーディオンとCTAボタンを配置した縦スクロール構成になっている。,
f0e5cae7-16ca-4e7e-94a9-06f1d2653747.webp,Trip.com,クーポン・リワード,旅行,全画面,"ネイビーブルー, ホワイト, ブルー","ダイアログ, ボタン, タグ・ラベル, アバター, ページコントロール, バナー・アラート",オンボーディング,通常状態,低,モーダルダイアログ形式で会員特典（電話・チャット優先サポート）の詳細を表示し、ロック中ステータスと対象会員tier（ダイヤモンド・プラチナ）をページコントロール付きで案内している。,
ff1e9df3-ce9d-4778-80b4-f171a18755e8.webp,Trip.com,検索結果,旅行,カード式,"ホワイト, ブルー, オレンジ","検索フィールド, タグ・ラベル, カード, カルーセル, バナー・アラート, タブ・セグメントコントロール, ボタン, ドロップダウン, レーティング, ツールバー, バッジ","検索, フィルタ・並び替え, 購入・予約",通常状態,高,都市選択ドロップダウン付き検索バー上部に配置し、カテゴリアイコン横並び・人気スポットランキングカルーセル・プロモーションバナー・タブ切替フィルター付きリストを縦に積み重ねた多層構造レイアウトを採用している。,
jalan-2024-08-1722742326092-30.webp,Jalan,ホーム,宿泊旅行,カード式,"オレンジ (#D4762B系), ホワイト, ブルー (CTAボタン)","ボタン, テキストフィールド, 検索フィールド, タブ・セグメントコントロール, ボトムナビ, バッジ, カード, タグ・ラベル, ツールバー, バナー・アラート",検索,通常状態,中,宿・ホテル検索フォーム（エリア・日付・人数）をファーストビューの中心に配置し、Pontaポイント残高表示・北陸応援割バナー・今夜の宿ショートカットを縦に並べた構成。,
jalan-2024-08-1722742327135-31.webp,Jalan,ホーム,旅行,グリッド,"オレンジ (#D4762B系), ホワイト, ライトグレー","ボタン, カード, ボトムナビ, ツールバー, バッジ, タグ・ラベル, ツールチップ, アバター, リスト","検索, 選択",通常状態,中,"ホーム画面は「周辺観光情報」「マイメニュー」「国内宿検索」の3セクションで構成され、クチコミ投稿ボタン上に限定5,000ptプレゼントのツールチップが重なって表示されている。",
jalan-2024-08-1722742332464-36.webp,Jalan,検索,宿旅,リスト式/タブ切替,"オレンジ (#E87722), ホワイト (#FFFFFF), ライトグレー (#F5F5F5), ブラック (#333333)","タブ・セグメントコントロール, ボタン, リスト, ツールバー, タグ・ラベル","検索, 選択",通常状態,中,エリア・駅路線・温泉地・履歴の4タブ構成で宿検索の起点となる地域選択画面であり、主要都市・北海道・東北・北関東のセクションヘッダーで階層的にエリアをグループ化したリストと、リスト/マップ切替セグメントコントロールを併用している。,
jalan-2024-08-1722742336006-39.webp,Jalan,検索結果,宿旅,カード式,"オレンジ (#E87722), ホワイト (#FFFFFF), ダークグレー (#333333), レッド (#E8002D)","ボタン, カード, タグ・ラベル, バッジ, ツールバー, ドロップダウン, リスト","検索, フィルタ・並び替え",通常状態,中,ヘッダーに検索条件（エリア・軒数・泊数・人数・部屋数）を表示し、各ホテルカードに大判の外観写真・価格・会員限定タグ・クーポンタグ・24時チェックインOKバッジを組み合わせたカードレイアウトで構成されている。,
jalan-2024-08-1722742338054-41.webp,Jalan,フィルタ・並び替え,宿泊旅行,リスト式,"オレンジ (#E87722), ホワイト (#FFFFFF), ライトグレー (#F5F5F5), ブルー (#5B9BD5)","ボタン, スイッチ・トグル, 検索フィールド, タブ・セグメントコントロール, リスト, アコーディオン, ツールバー","検索, フィルタ・並び替え, 選択",通常状態,中,エリア・駅路線・温泉地・履歴の4タブ構成で、リスト／マップ切替と複数エリア選択トグル（最大3つ）を組み合わせた目的地指定画面。,
jalan-2024-08-1722742345728-48.webp,Jalan,カレンダー,旅行,テーブル,"オレンジ (#E8790C), ブルー (#4A90D9), ホワイト (#FFFFFF), グレー (#F0F0F0)","ボタン, タブ・セグメントコントロール, 日付・時間選択, テーブル, ツールバー, タグ・ラベル","検索, フィルタ・並び替え, 購入・予約, 選択",通常状態,低,「日付未定／今夜の宿／日付指定／2泊」の4択セグメントコントロールと月次カレンダーを組み合わせ、10月21〜23日の3日間が青色ハイライトで選択範囲を視覚的に表示している。,
jalan-2024-08-1722742379774-1.webp,Jalan,ホーム,宿泊旅行,タブ切替,"オレンジ (#D4720A系), ホワイト, ブルー","ボタン, セレクト, ドロップダウン, タブ・セグメントコントロール, 検索フィールド, ボトムナビ, バッジ, タグ・ラベル, バナー・アラート, リスト, カード, ツールバー","検索, フィルタ・並び替え, 選択",パーシャルステート,中,宿泊検索フォーム上に人数選択ドロップダウン（大人1〜8名）が展開されており、現在「大人2名」にチェックマークが付いた選択中状態が表示されている。,
jalan-2024-08-1722742380842-2.webp,Jalan,フィルタ・並び替え,宿旅,リスト式,"オレンジ (#D4732A), ホワイト (#FFFFFF), ライトグレー (#F0EEEC), ブルー (#4A7FD4)","ボタン, ステッパー, ツールバー, リスト","フィルタ・並び替え, 購入・予約",エンプティステート,中,子供の宿泊条件を「小学生」「幼児（食事・布団付）」「幼児（食事のみ）」「幼児（布団のみ）」「幼児（食事・布団不要）」の5カテゴリに細分化し、各カテゴリをステッパーで個別に人数指定できる構成になっている。,
jalan-2024-08-1722742381972-3.webp,Jalan,フィルタ・並び替え,宿泊旅行,リスト式,"オレンジ（#D4782A系）, ホワイト, ブルー（決定ボタン）","ボタン, ドロップダウン, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,中,予算・人気こだわり条件・宿タイプ・食事タイプの4カテゴリを縦スクロールで並べ、各セクションに個別クリアと全体クリアを併設し、361件の検索結果数をリアルタイム表示した固定決定ボタンを画面下部に配置している。,
jalan-2024-08-1722742383038-4.webp,Jalan,フィルタ・並び替え,宿泊旅行,リスト式,"オレンジ (#D4782A), ホワイト (#FFFFFF), ブルー (#2979FF)","ボタン, セレクト, ドロップダウン, リスト, タグ・ラベル, ツールバー","フィルタ・並び替え, 選択",パーシャルステート,中,"予算の上限設定用ドロップダウンが展開され、14,000円〜100,000円の価格帯オプションがオーバーレイ表示されており、背景には温泉・露天風呂・駐車場等のこだわり条件タグと宿タイプ・食事タイプのセクションが確認できる。",
jalan-2024-08-1722742384929-6.webp,Jalan,フィルタ・並び替え,宿泊/旅行,リスト式,"オレンジ（#D47A1E系）, ホワイト, ブルー（決定ボタン）","ボタン, セレクト, ドロップダウン, タグ・ラベル, ツールバー, リスト",フィルタ・並び替え,通常状態,中,予算・人気条件・宿タイプ・食事タイプの4カテゴリで構成され、選択済み条件（禁煙ルーム・部屋でインターネットOK）はオレンジ背景で視覚的に区別され、該当件数294軒がボトムの決定ボタンにリアルタイム表示されている。,
jalan-2024-08-1722742388432-9.webp,Jalan,ホーム,旅行,カード式,"オレンジ (#D4731A系), ホワイト, ブルー (#2979FF系)","ボタン, タブ・セグメントコントロール, 検索フィールド, カード, ボトムナビ, バッジ, タグ・ラベル, ツールバー, バナー・アラート, リスト",検索,通常状態,中,宿泊地・日程・人数・こだわり条件をまとめた検索ボックスをページ上部に配置し、該当件数（294軒）をボタン内にリアルタイム表示する構成になっている。,
jalan-2024-08-1722742389302-10.webp,Jalan,検索結果,宿旅,カード式,"オレンジ (#E87722), ホワイト (#FFFFFF), レッド (#FF0000), ダークグレー (#333333)","ボタン, カード, タグ・ラベル, ツールバー, ドロップダウン, バッジ, リスト","検索, フィルタ・並び替え",通常状態,中,各ホテルカードに物件写真・ロケーション・会員限定バッジ・クーポンラベル・1泊2名の税込最低価格が縦積みで構成され、上部に件数・日程・人数条件と並び替え・絞り込み・地図表示の3つの操作トリガーが固定配置されている。,
jalan-2024-08-1722742392432-13.webp,Jalan,フィルタ・並び替え,旅行,カード式,"オレンジ (#E87722), ホワイト, グレー, レッド","ドロップダウン, カード, タグ・ラベル, ツールバー, リスト, バッジ","検索, フィルタ・並び替え",通常状態,高,検索結果リスト上にドロップダウンメニューが展開されており、「おすすめ順」「安い順」「高い順」の3つの並び替えオプションが現在選択中のチェックマーク付きで表示されている。,
